[09/11/21 13:29:57] [INFO] received Windows console close event; shutting log-core down
[09/11/21 13:33:42] [INFO] received Windows console close event; shutting log-core down
[09/11/21 13:33:59] [INFO] received Windows console close event; shutting log-core down
[09/11/21 14:19:44] [INFO] received Windows console close event; shutting log-core down
[09/11/21 14:21:01] [INFO] received Windows console close event; shutting log-core down
[09/11/21 14:22:57] [INFO] received Windows console close event; shutting log-core down
[09/11/21 14:28:26] [INFO] received Windows console close event; shutting log-core down
[09/11/21 14:42:12] [INFO] received Windows console close event; shutting log-core down
[07/03/22 09:57:34] [INFO] received Windows console close event; shutting log-core down
[07/03/22 09:58:15] [INFO] received Windows console close event; shutting log-core down
[07/03/22 09:58:47] [INFO] received Windows console close event; shutting log-core down
[07/03/22 09:59:13] [INFO] received Windows console close event; shutting log-core down
[07/03/22 10:00:12] [INFO] received Windows console close event; shutting log-core down
[07/03/22 10:00:45] [INFO] received Windows console close event; shutting log-core down
[07/03/22 10:01:48] [INFO] received Windows console close event; shutting log-core down
[07/03/22 10:02:54] [INFO] received Windows console close event; shutting log-core down
[10:04:44] [INFO] received Windows console close event; shutting log-core down
[10:07:08] [INFO] received Windows console close event; shutting log-core down
[10:10:19] [INFO] received Windows console close event; shutting log-core down
[10:10:39] [INFO] received Windows console close event; shutting log-core down
[10:14:43] [INFO] received Windows console close event; shutting log-core down
[10:15:08] [INFO] received Windows console close event; shutting log-core down
[10:18:01] [INFO] received Windows console close event; shutting log-core down
[10:22:12] [INFO] received Windows console close event; shutting log-core down
[10:23:08] [INFO] received Windows console close event; shutting log-core down
[19:22:02] [INFO] received Windows console close event; shutting log-core down
[19:28:21] [INFO] received Windows console close event; shutting log-core down
[19:31:57] [INFO] received Windows console close event; shutting log-core down
[19:50:50] [INFO] received Windows console close event; shutting log-core down
[20:03:45] [INFO] received Windows console close event; shutting log-core down
[20:39:18] [INFO] received Windows console close event; shutting log-core down
[20:42:46] [INFO] received Windows console close event; shutting log-core down
[11:17:41] [INFO] received Windows console close event; shutting log-core down
[11:18:24] [INFO] received Windows console close event; shutting log-core down
[11:19:22] [INFO] received Windows console close event; shutting log-core down
[11:19:59] [INFO] received Windows console close event; shutting log-core down
[11:26:36] [INFO] received Windows console close event; shutting log-core down
[11:37:55] [INFO] received Windows console close event; shutting log-core down
[11:39:00] [INFO] received Windows console close event; shutting log-core down
[11:40:23] [INFO] received Windows console close event; shutting log-core down
[11:40:58] [INFO] received Windows console close event; shutting log-core down
[11:45:40] [INFO] received Windows console close event; shutting log-core down
[11:46:10] [INFO] received Windows console close event; shutting log-core down
[11:48:46] [INFO] received Windows console close event; shutting log-core down
[11:50:59] [INFO] received Windows console close event; shutting log-core down
[11:52:25] [INFO] received Windows console close event; shutting log-core down
[11:53:24] [INFO] received Windows console close event; shutting log-core down
[12:16:39] [INFO] received Windows console close event; shutting log-core down
[12:17:29] [INFO] received Windows console close event; shutting log-core down
[12:18:45] [INFO] received Windows console close event; shutting log-core down
[12:21:46] [INFO] received Windows console close event; shutting log-core down
[12:25:06] [INFO] received Windows console close event; shutting log-core down
[12:26:23] [INFO] received Windows console close event; shutting log-core down
[12:28:23] [INFO] received Windows console close event; shutting log-core down
[12:53:45] [INFO] received Windows console close event; shutting log-core down
[14:29:48] [INFO] received Windows console close event; shutting log-core down
[09:34:59] [INFO] received Windows console close event; shutting log-core down
[09:38:24] [INFO] received Windows console close event; shutting log-core down
[09:51:38] [INFO] received Windows console close event; shutting log-core down
[09:53:09] [INFO] received Windows console close event; shutting log-core down
[09:56:47] [INFO] received Windows console close event; shutting log-core down
[07:48:08] [INFO] received Windows console close event; shutting log-core down
[07:53:20] [INFO] received Windows console close event; shutting log-core down
[07:59:21] [INFO] received Windows console close event; shutting log-core down
[08:00:33] [INFO] received Windows console close event; shutting log-core down
[08:01:31] [INFO] received Windows console close event; shutting log-core down
[08:02:42] [INFO] received Windows console close event; shutting log-core down
[08:08:07] [INFO] received Windows console close event; shutting log-core down
[08:19:26] [INFO] received Windows console close event; shutting log-core down
[08:21:39] [INFO] received Windows console close event; shutting log-core down
[08:22:58] [INFO] received Windows console close event; shutting log-core down
[08:28:34] [INFO] received Windows console close event; shutting log-core down
[08:31:45] [INFO] received Windows console close event; shutting log-core down
[08:32:45] [INFO] received Windows console close event; shutting log-core down
[08:35:48] [INFO] received Windows console close event; shutting log-core down
[08:39:48] [INFO] received Windows console close event; shutting log-core down
[08:42:00] [INFO] received Windows console close event; shutting log-core down
[08:42:36] [INFO] received Windows console close event; shutting log-core down
[08:54:48] [INFO] received Windows console close event; shutting log-core down
